,Fuzzers,Exploits,Worms,Shellcode,Generic,Analysis,Backdoor,DoS,Reconnaissance,Normal
0,1001,964,110,1001,999,1001,999,995,999,960
1,0,3,8,0,0,0,0,0,0,0
2,0,1,4,0,0,0,0,0,0,0
3,0,0,5,0,0,0,0,1,0,0
4,0,6,0,0,0,0,0,1,2,0
5,0,2,0,0,0,0,0,0,0,0
6,0,24,0,0,0,0,2,3,0,41
7,0,0,0,0,2,0,0,0,0,0
8,0,1,3,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0
